capitulo,articulo,contenido
CAPÍTULO III,Artículo 3.2," Las unidades de formación que sean registradas como acreditadas o aprobadas por revalidación o equivalencia en el plan de estudios de un alumno deben ser similares a los impartidos por el Tecnológico de Monterrey en cuanto al contenido y la duración.    Para gestionar un acuerdo de revalidación o equivalencia, se deben cumplir los siguientes requisitos:  1.	Solamente podrán ser revalidadas o sujetas a equivalencia las materias cursadas en instituciones reconocidas por la Secretaría de Educación Pública. 2.	Las materias cursadas en otra institución deben tener una calificación mínima de 80/100 o su equivalente en otra escala de calificaciones. 3.	Las materias cursadas en la otra institución y las unidades de formación por las que se solicite el acuerdo de revalidación o equivalencia en el Tecnológico de Monterrey deben ser similares en, al menos, el 80% de sus contenidos y carga académica. 4.	No se podrá aceptar revalidación o equivalencia de unidades de formación cuyo requisito académico no haya sido acreditado.  El Tecnológico de Monterrey puede requerir la evaluación de las competencias asociadas a la unidad de formación.  Se asignará la calificación A (Acreditada) en la unidad de formación en la que el alumno haya obtenido acuerdo de revalidación o equivalencia por estudios hechos en otra universidad incluyendo la acreditación de una Semana Tec por cada seis créditos académicos.  Se podrán acreditar Semanas Tec adicionales a través del procedimiento esta- blecido por la Vicerrectoría de Innovación Educativa y Normatividad Académica y de para ese propósito. "
CAPÍTULO III,Artículo 3.3," Podrá registrarse en el plan de estudios de un alumno, como resultado de un proceso de revalidación o equivalencia de estudios en otras instituciones, hasta un 50% de los créditos académicos que integran el plan de estudios de una carrera profesional. "
CAPÍTULO III,Artículo 3.4," En los programas de licenciatura con doble titulación, que se establezcan en conjunto con universidades extranjeras, podrá incorporarse al plan de estudios, como máximo, el equivalente al 75% del total de los créditos académicos que integran el plan de estudios como resultado de procedimientos de revalidación, acreditación o equivalencias.   "
CAPÍTULO III,Artículo 3.5," Si un alumno desea cursar una carrera profesional adicional en el Tecnológico de Monterrey, podrá acreditar en la carrera adicional hasta un 75% de los créditos académicos cursados previamente en otra carrera profesional. "
CAPÍTULO III,Artículo 3.6," Los alumnos de las carreras profesionales podrán cursar materias en una universidad extranjera con la que el Tecnológico de Monterrey tenga convenio de cooperación y acreditar unidades de formación, siempre que cumpla los requisitos establecidos y no exceda del 50% de los créditos académicos de su plan de estudios. "
CAPÍTULO III,Artículo 3.7," Si un alumno desea transferirse a otro campus, deberá cumplir con los requisitos y procedimientos establecidos por la Dirección de Servicios Escolares para ese propósito. "
CAPÍTULO III,Artículo 3.8," Al ingresar al Tecnológico de Monterrey, los alumnos egresados del Advanced Placement Program, administrado por el College Board, y los alumnos egresados del Bachillerato Internacional podrán acreditar unidades de formación de un área de exploración o de su plan de estudios sin requerir un examen de suficiencia, siempre y cuando cumplan con los criterios académicos que se encuentran definidos para ello. "
CAPÍTULO III,Artículo 3.9," Las unidades de formación que sean registrados como aprobados en la Institución o en universidades extranjeras con las que el Tecnológico de Monterrey tenga un convenio de colaboración podrán acreditar unidades de formación, similares en contenido y duración, de un plan de estudios. "
CAPÍTULO III,Artículo 3.10," Las unidades de formación variable denominadas como Tópicos I, Tópicos II, Tópicos III, Tópicos IV, Tópicos V, Tópicos VI, podrán ser acreditadas por unidades de formación con crédito académico del catálogo oficial del Tecnológico de Monterrey o por materias con crédito académico del catálogo    oficial de las universidades extranjeras con las que el Tecnológico de Monterrey tenga un convenio de colaboración mediante el procedimiento autorizado por la Vicerrectoría de Innovación Educativa y Normatividad Académica.                               "
CAPÍTULO IV,Artículo 4.1," La inscripción se hará, primeramente y de manera obligatoria, en las unidades de formación más atrasadas, de acuerdo con el orden y la prioridad de las mismas en cada semestre en el plan de estudios correspondiente y de acuerdo con la oferta de cursos del plan de estudios oficial. "
CAPÍTULO IV,Artículo 4.2," Los créditos académicos de una unidad de formación se definen como el tiempo que un alumno dedica, dentro y fuera del salón de clases para cumplir con los fines de aprendizaje de la misma. La carga académica de un alumno en un determinado periodo escolar es el total de créditos académicos que inscribe. Para un alumno de tiempo completo, la carga académica semestral es de 18 créditos académicos. "
CAPÍTULO IV,Artículo 4.3," Tiene derecho a inscribirse:  1.	Quien haya sido admitido o readmitido por la Dirección de Admisiones para el periodo correspondiente a la inscripción. 2.	Quien, siendo alumno en el periodo semestral anterior, lo concluya sin haber sido dado de baja definitiva o suspensión temporal por razones académicas o disciplinarias. 3.	En unidades de formación trimestrales, quien, siendo alumno de programas del área de Salud, haya acreditado las unidades de formación semestrales de su programa, incluyendo Semanas Tec, y que haya cumplido con el requisito de graduación relacionado con el dominio del idioma inglés.  Se entiende que renuncian al derecho de inscribirse quienes no concluyan los trámites de inscripción en las fechas que para el efecto haya establecido la Dirección de Servicios Escolares. Estos alumnos tendrán que solicitar readmisión cuando deseen ingresar de nuevo al Tecnológico de Monterrey, de acuerdo con las normas y procedimientos establecidos.    Un alumno sin derecho a inscribirse por la causa indicada en el inciso 3, podrá recuperar su derecho mediante el procedimiento establecido por la Dirección de Servicios Escolares para ese propósito. "
CAPÍTULO IV,Artículo 4.4," Todo alumno debe seguir el plan de estudios vigente en el momento de su ingre- so. Si se retrasa en su plan de estudios, queda sujeto a las modificaciones y a las decisiones académicas que pudieren llegar a adoptarse en el plan de estudios correspondiente con las consiguientes implicaciones.  Alumnos inscritos en programas de 8 semestres tienen 7 años para terminar su plan de estudios y alumnos inscritos en programas de 9 ó 10 semestres tie- nen 8 años para terminar su plan de estudios, contados desde la fecha que se inscribieron por primera vez en dicho plan, una vez transcurrido este plazo, y si requirieran continuar con sus estudios, deben realizar un cambio al nuevo plan de estudios para dar continuidad a sus estudios. Para tal efecto, se tomarán en cuenta las siguientes disposiciones:  a.	Se harán válidas las materias equivalentes y acreditadas en el plan de estudios anterior. b.	Se mantendrá el estatus académico del alumno obtenido en el plan de estudios anterior. c.	El cálculo del estatus académico del alumno en la nueva edición del plan de estudios no tomará en cuenta las unidades de formativas no acreditadas en el plan de estudios anterior. "
CAPÍTULO IV,Artículo 4.5," Para inscribirse en cualquier unidad de formación, se requiere que el alumno cumpla con los requisitos académicos fijados para la misma. "
CAPÍTULO IV,Artículo 4.6," La sobrecarga académica máxima para un alumno en un semestre es de 3 créditos académicos, considerando que en un periodo de 5 semanas no podrá exceder de 7 créditos académicos. "
CAPÍTULO IV,Artículo 4.7, La carga académica en los periodos trimestrales de práctica clínica en las carreras de Ciencias de la Salud se rige según su propio reglamento interno autorizado por la Vicerrectoría de Innovación Educativa y Normatividad Académica.   
CAPÍTULO IV,Artículo 4.8, La carga académica máxima que puede inscribir un alumno en los periodos intensivos es de 7 créditos académicos. 
CAPÍTULO IV,Artículo 4.9," Los alumnos podrán darse de baja en una o varias unidades de formación inscritas, exceptuando la Semana Tec del tipo de evaluación y retroalimentación, durante el periodo académico semestral o periodos intensivos, antes del último día de clases de la unidad de formación a dar de baja, conforme lo establezca el Calendario Escolar correspondiente. Las unidades de formación dadas de baja no se registrarán como reprobadas.  En el caso de que el alumno solicite la baja de todas sus unidades de formación, debe incluirse la Semana Tec del tipo de evaluación y retroalimentación, para reincorporarse deberá pasar nuevamente por un proceso de admisión, en el que se tomará en cuenta su historial académico para la decisión. El proceso relacionado con la baja de las unidades de formación se llevará a cabo de acuerdo con las políticas y procedimientos administrativos definidas por la Dirección de Servicios Escolares para ese fin. "
CAPÍTULO IV,Artículo 4.10," Para que un alumno inscrito en un área de exploración, sea considerado alumno de una carrera profesional debe solicitar su registro de acuerdo con el procedimiento establecido por la Dirección de Servicios Escolares. Asimismo, para ser considerado alumno de una concentración, definida como opción en su carrera profesional, el alumno deberá realizar su solicitud el semestre previo a su inicio ante la Dirección de Servicios Escolares. "
CAPÍTULO IV,Artículo 4.11," El Tecnológico de Monterrey podrá expedir, a solicitud del alumno, certificados parciales de estudios. Los certificados parciales incluyen las unidades de formación acreditadas por el alumno hasta que el semestre, trimestre, verano o invierno ha concluido de manera oficial. El periodo semestral concluye oficialmente con el registro de calificaciones finales en la unidad de formación de la Semana 18.                                 "
CAPÍTULO V,Artículo 5.1," La evaluación del desempeño académico de los alumnos, debe efectuarse en función de los fines de aprendizaje de la unidad de formación y realizarse en cada una de las unidades de formación de manera continua durante el desarrollo de las actividades de aprendizaje; estas evaluaciones serán tanto de contenidos de la unidad de formación, como del nivel de dominio de competencias. Los resultados de las evaluaciones en las actividades de aprendizaje de la unidad de formación conducirán a una calificación final. "
CAPÍTULO V,Artículo 5.2," La evaluación del desempeño académico de los alumnos se efectúa de manera continua durante el desarrollo de las actividades de aprendizaje. También existen las evaluaciones iniciales, las evaluaciones integrales de competencias, las evaluaciones extemporáneas, los exámenes institucionales, los exámenes de regularización y las evaluaciones por organismos externos que determine el Tecnológico de Monterrey, que se han establecido para evaluar el nivel de aprendizaje de los alumnos. "
CAPÍTULO V,Artículo 5.3," El profesor deberá publicar y dar a conocer, al inicio del período, el plan de evaluación de la unidad de formación, así como el impacto que pudieran tener las faltas a la integridad académica, las inasistencias e incumplimientos.  Los resultados de las evaluaciones deben sustentarse en evidencias definidas por el profesor.  En caso de una aclaración de una calificación final o nivel de dominio de competencias, el alumno deberá recurrir en primera instancia al profesor, y en caso de requerirlo, solicitar la aclaración de acuerdo con el procedimiento definido para este propósito por la Dirección de Servicios Escolares.   "
CAPÍTULO V,Artículo 5.4," La evaluación del aprendizaje del alumno debe considerar los contenidos y competencias de la unidad de formación y tener las siguientes características:  1.	Se efectúa en cada unidad de formación. 2.	Se realiza a través de instrumentos de evaluación diversos, aplicados a evidencias de aprendizaje, tales como: proyectos, retos o actividades que el profesor diseñe para evaluar el desempeño del alumno en la unidad de formación. 3.	La calificación de la evaluación debe sustentarse en evidencias físicas o digitales. "
CAPÍTULO V,Artículo 5.5," El profesor debe reportar las calificaciones y las inasistencias de los alumnos en la unidad de formación, de acuerdo con los procedimientos establecidos por la Dirección de Servicios Escolares. Asimismo, debe reportar en los sistemas oficiales los niveles de dominio alcanzados por los alumnos en las competencias asociadas a la unidad de formación. "
CAPÍTULO V,Artículo 5.6," Los planes de estudio están definidos en tres etapas. En cada etapa ocurre una evaluación de competencias con las siguientes características:  1.	Es obligatoria y no puede eximirse a ningún alumno de ella. 2.	Se efectúa en función de los niveles de dominio de las competencias que deben haber sido logrados, por el alumno, en la etapa correspondiente. 3.	El resultado de la evaluación de cada etapa toma en cuenta el nivel de dominio de las competencias demostrado en las unidades de formación acreditadas hasta la etapa de formación que se evalúa. 4.	El resultado de la evaluación efectuada en la tercera etapa demuestra el nivel de dominio en las competencias disciplinares del alumno en su plan de estudios y, en su caso, el cumplimiento del requisito de graduación de su programa. "
CAPÍTULO V,Artículo 5.7," La escala de calificaciones es de uno a cien, en números enteros. Esta escala deberá aplicarse en todas las evaluaciones del desempeño académico del alumno en las unidades de formación y en la calificación final de la unidad de    formación. Adicionalmente, pueden asignarse las siguientes calificaciones no numéricas:  1.	Calificación IN (Incompleto). La evaluación final en una unidad de formación podrá dejarse pendiente y se reportará a la Dirección de Servicios Escolares la calificación provisional IN en las unidades de formación en las que: a.	Se realicen trabajos de investigación y el avance en el programa de los mismos haya quedado incompleto por la naturaleza de los trabajos o por causas ajenas al alumno. b.	Se realicen trabajos con recursos físicos cuya disponibilidad sea limitada o no pueda ser controlada por el alumno. c.	El avance del alumno esté condicionado a una evaluación integral por parte de una Escuela.  La calificación IN debe ser modificada por el profesor responsable de la unidad de formación al concluir el semestre o trimestre. En el caso de los incisos a y b, la calificación IN debe ser modificada por el profesor responsable de la unidad de formación, a más tardar, el último día de clases del siguiente semestre o trimestre, asignando una calificación numérica.  Para asignar esta calificación, el profesor deberá contar con el aval de su Director de Departamento. La calificación IN no se considerará reprobatoria, ni para efectos de cálculo del promedio o estatus académico del alumno.  2.	Calificación SC (Sin Calificación). La calificación SC (Sin Calificación) será utilizada por la Dirección de Servicios Escolares cuando, por causas de fuerza mayor, el profesor no entregue en la fecha límite las calificaciones finales. El profesor de la unidad de formación deberá asignar una calificación numérica, a más tardar, 48 horas después de la fecha límite de la entrega de calificaciones finales. La calificación SC no se considerará para efectos de cálculo del promedio.  3.	Calificación NP (No Presentó). La calificación NP deberá asignarse como calificación final por el profesor de la unidad de formación cuando no haya realizado algún elemento declarado como relevante en el plan de evaluación de la unidad de formación y será equivalente a una calificación numérica de 1 (uno) en la escala de 1 a 100, para propósitos de cálculo de promedio. La calificación NP podrá ser sustituida por una calificación numérica de acuerdo con las políticas de revisión de calificaciones finales establecida en este reglamento.    4.	Calificación A (Acreditada). Se asignará la calificación A (Acreditada) en los siguientes casos: 1.	En las unidades de formación en las que el alumno haya obtenido acuerdo de revalidación o equivalencia por estudios hechos en otra universidad. 2.	En aquellas que se hayan registrado por un proceso de acreditación como se establece en el Artículo 3. 1. 3.	En aquellas unidades de formación acreditadas por exámenes de suficiencia, como se establece en el Artículo 3.8. 4.	En las unidades de formación de nivel introductorio acreditadas con los procedimientos establecidos en el Artículo 1.5. 5.	En los casos en los que la acreditación se realice para obtención de un doble título.  La calificación A no se considerará para efectos de cálculo del promedio.  5.	Calificación SA (Semana Tec Acreditada). Se asignará la calificación SA (Semana Tec Acreditada) en las unidades de formación de la Semana Tec en las que el alumno está inscrito, siempre que cumpla con los requisitos de aprobación establecidos en su evaluación. La calificación SA no se considerará para efectos de cálculo del promedio.  6.	Calificación SN (Semana Tec No Acreditada). Se asignará la calificación SN (Semana Tec No Acreditada) en las unidades de formación de la Semana Tec en las que el alumno está inscrito y no cumpla con los requisitos de aprobación establecidos en su evaluación. La calificación SN no se considerará para efectos de cálculo del promedio, pero sí se considerará para fines de estatus académico como un crédito. "
CAPÍTULO V,Artículo 5.8," El nivel de dominio de las competencias definidas en las unidades de formación, así como en las competencias de egreso del plan de estudio, se evalúan utilizando los estándares establecidos para ese propósito en la Institución: A, B, C, siendo el C el mayor nivel de dominio.  Se registrará en el expediente escolar del alumno el nivel de dominio obtenido en las competencias de su programa. Cuando el alumno no logre el nivel de dominio de la competencia según lo establecido en cada unidad de formación, se registrará en el expediente escolar del alumno el nivel de dominio N (Competencia No Observada).    Los niveles de dominio para un idioma, se evalúan utilizando los estándares establecidos por el Marco Común Europeo de Referencia: A1 (Principiante); A2 (Elemental); B1 (Pre-intermedio); B2 (Intermedio); C1 (Avanzado); C2 (Experto).  Se registrará en el expediente escolar del alumno el nivel de dominio obtenido en los exámenes de inglés autorizados por la Institución. "
CAPÍTULO V,Artículo 5.9," Para aprobar una unidad de formación es necesario cursarla, cumplir con el plan de evaluación y obtener una calificación final aprobatoria, que debe ser igual o superior a setenta; también pueden aprobarse las unidades de formación:  1.	En las que se haya obtenido acuerdo de revalidación o equivalencia por estudios hechos en otra universidad y, en ese caso, se le asignará una calificación “A” (Acreditada). 2.	Que se hayan registrado por un proceso de acreditación. 3.	Que el plan de estudios establezca que pueden acreditarse mediante exámenes de suficiencia y, en ese caso, se le asignará una calificación “A” (Acreditada). 4.	A través de un examen de regularización, en el que se le asignará la calificación obtenida siempre y cuando sea mayor o igual a setenta.  Se considera como reprobada cualquier unidad de formación en la que el alumno:  1.	Obtenga una calificación final inferior a 70. 2.	Obtenga una calificación final reprobatoria como consecuencia de una falta de integridad académica, de acuerdo con lo establecido en el Capítulo IX de este reglamento. 3.	Obtenga una calificación final NP. "
CAPÍTULO V,Artículo 5.10," El alumno podrá solicitar revisión de la calificación final o el nivel de dominio de las competencias en las unidades de formación o el nivel de dominio de competencias en las etapas, mediante el procedimiento definido para este propósito por la Dirección de Servicios Escolares. La solicitud deberá realizarse por escrito. Esta solicitud será turnada por la Dirección de Servicios Escolares al Director de Departamento, Director de División o su equivalente, según corresponda; a fin de que se constituya un comité para que revise y resuelva sobre la calificación final o el nivel de dominio de las competencias.    El derecho para solicitar la revisión expira cinco días hábiles después del último día establecido en el calendario escolar para reportar calificaciones finales o niveles de dominio de competencias; o cinco días hábiles después de que hayan sido reportadas y publicadas, lo que ocurra después. La calificación final o el nivel de dominio de las competencias emitido por el comité serán definitivos e inapelables.  El derecho expresado en este artículo no aplicará en los casos en que la calificación final reprobatoria esté ligada a una falta a la integridad académica por parte del alumno. "
CAPÍTULO V,Artículo 5.11," Se entiende por evaluación de regularización el que se concede una sola vez, en una sola unidad de formación cursada y reprobada, cuando el aprobar esta sea el único requisito académico pendiente para que un alumno tenga derecho a que se le expida el título profesional correspondiente a su carrera.  Adicionalmente, se pierde el derecho a la evaluación de regularización cuando se haya obtenido la sanción de estatus de “Condicionamiento por Faltas a la Integridad Académica”, en la unidad de formación en cuestión.  El plazo para que el alumno presente la evaluación es a partir del segundo día hábil después de concluidas oficialmente todas las unidades de formación del semestre y el último día del siguiente semestre. En caso de que el alumno no presente la evaluación en ese lapso, deberá cursar la unidad de formación faltante de su plan de estudios.  La evaluación de regularización deberá ser diseñada y calificada por un comité conformado por un mínimo de dos profesores, designados por el director del departamento académico correspondiente, y comprenderá todos los fines de aprendizaje de la unidad de formación en cuestión.  La Dirección de Servicios Escolares expedirá la autorización para la evaluación de regularización a petición del alumno interesado e indicará la fecha y hora designadas para presentarse.  En caso de reprobar la evaluación de regularización, el alumno deberá cursar la unidad de formación faltante de su plan de estudios.  Las Escuelas podrán establecer las unidades de formación, que incluyan actividades de aprendizaje en laboratorios, talleres, clínicas, desarrollo de    proyectos o seminarios, en los que no puedan concederse evaluaciones de regularización. Esta información deberá ser comunicada por escrito, al inicio de la unidad de formación, a los alumnos.  En caso de que un alumno que ha terminado un programa académico y que adicionalmente desee obtener un título profesional de otra carrera, podrá presentar una evaluación de regularización por cada programa académico en el que se inscriba, siempre y cuando se cumplan en sus términos las disposiciones de este artículo en cada programa. "
CAPÍTULO V,Artículo 5.12," Un alumno con una calificación NP podrá solicitar una evaluación extemporánea mediante el procedimiento definido por la Dirección de Servicios Escolares para ese propósito. La solicitud deberá realizarse por escrito, exponiendo las causas de esta petición, a más tardar, el tercer día hábil después de concluir las actividades de aprendizaje de la unidad de formación. En caso de autorizarse la evaluación extemporánea, el derecho de presentar esta evaluación caduca una semana antes del primer día de clases del siguiente periodo semestral. La calificación final, que incluye el resultado de la evaluación extemporánea, deberá registrarse antes del primer día de clases del siguiente periodo semestral.                                 "
CAPÍTULO VI,Artículo 6.1," Para obtener un título profesional en el Tecnológico de Monterrey se requiere:  1.	Haber cumplido, de acuerdo con las normas en vigor, con los requisitos académicos previos del plan de estudios correspondiente, mediante la evaluación inicial o las unidades de nivel introductorio. 2.	Haber cubierto todas las unidades de formación del plan de estudios que corresponda, incluyendo Semanas Tec, ya sea aprobando todas las unidades de formación en el Tecnológico de Monterrey, o bien, obteniendo acuerdos de revalidación o equivalencia conforme a las normas correspondientes de una parte de las unidades de formación con estudios hechos en otras instituciones y aprobando las unidades de formación restantes en el Tecnológico de Monterrey. 3.	Haber demostrado el nivel de dominio establecido por la Institución en las competencias definidas de su plan de estudios. 4.	Haber cursado y aprobado en el Tecnológico de Monterrey, por lo menos, el 50% de los créditos académicos que integran el plan de estudios. Podrá tenerse flexibilidad en esta norma en los programas que, mediante un convenio, se establezcan en conjunto con otras universidades. 5.	Haber cumplido con el servicio social, de acuerdo con los preceptos legales en vigor y el reglamento del servicio social correspondiente. 6.	Haber presentado el examen externo, autorizado por la Vicerrectoría Académica, para evaluar los conocimientos y habilidades adquiridos durante su carrera profesional. Este requisito es aplicable solamente a los alumnos de las carreras profesionales para las que existan dichos exámenes. El resultado de este examen quedará registrado en el expediente del alumno. En las carreras en las que no exista dicho examen, los alumnos de las carreras profesionales deberán presentar los exámenes integradores diseñados para este fin. Este requisito es aplicable solamente a los alumnos de las carreras profesionales para las que existan dichos exámenes. 7.	Haber demostrado un nivel de dominio B2 del idioma inglés referenciado al Marco Común Europeo de Referencia (MCER) en alguno de los exámenes autorizados por la Vicerrectoría Académica.     8.	Haber cumplido con los requisitos adicionales establecidos en su programa autorizados por la Vicerrectoría de Innovación Educativa y Normatividad Académica. 9.	En el caso de que el alumno incurra en una falta a la integridad académica durante el último periodo académico de su carrera, ya sea semestral, trimestral o intensivo; deberá cumplir con las medidas que haya determinado el Comité correspondiente, de lo contrario, con su incumplimiento el alumno retrasará su proceso de titulación de acuerdo con lo establecido en el Artículo 9.4.  El egresado podrá registrar el título profesional ante la Secretaría de Educación Pública y solicitar la expedición de la cédula profesional para el ejercicio profesional en México. La validez del título o cédula profesional en otros países requiere cumplir con requisitos adicionales gubernamentales o institucionales. "
CAPÍTULO VI,Artículo 6.2," Para el caso de alumnos de transferencia interna, tendrán la opción de elegir el campus que emita su título profesional por así convenir a sus intereses, para lo cual deberá haber cursado, en dicho campus, al menos 36 créditos académicos de su plan de estudios. En cualquier caso, se deberán cumplir todos los requisitos de graduación establecidos para expedir el título. "
CAPÍTULO VI,Artículo 6.3," En aquellos programas académicos que se ofrecen con convenio de doble titulación con universidades extranjeras, los alumnos podrán obtener un título profesional del Tecnológico de Monterrey y otro de las instituciones extranjeras participantes, siempre que se satisfagan los requisitos legales y académicos establecidos para la doble titulación por las instituciones participantes. El título profesional del Tecnológico de Monterrey que reciban los alumnos de la universidad extranjera en convenio, servirá solamente para fines académicos, por lo que no podrá solicitarse registro ni expedición de una cédula profesional en México. "
CAPÍTULO VI,Artículo 6.4, Para obtener un certificado de concentración profesional se requiere que el alumno:  1.	Cumpla con todos los requisitos de graduación. 2.	No haya incurrido en una falta disciplinaria cuyo dictamen indique explícitamente la pérdida de la distinción.  50    3.	Cumpla con los requisitos del programa de concentración profesional correspondiente. 
CAPÍTULO VI,Artículo 6.5," Para obtener el diploma internacional, se requiere que el alumno:  1.	Cumpla con todos los requisitos de graduación. 2.	No haya incurrido en una falta disciplinaria cuyo dictamen indique explícitamente la pérdida de la distinción. 3.	Cumpla con los requisitos establecidos en el Programa Internacional.                                 "
CAPÍTULO VII,Artículo 7.1," El Tecnológico de Monterrey concede los siguientes reconocimientos a los alumnos que tengan un excelente desempeño académico:  1.	“Menciones Honoríficas” al 10% de los mejores alumnos de cada genera- ción de cada programa, a condición de que hayan obtenido un promedio final de calificaciones igual o mayor a 90 en las unidades de formación de su plan de estudios y que no sean acreedores a una Mención Honorífica de Excelencia. 2.	“Menciones Honoríficas de Excelencia” a un subgrupo de los alumnos mencionados en el punto anterior, que obtengan un promedio de califica- ciones finales en las unidades de formación de su plan de estudios igual o superior a 95, que no hayan reprobado unidades de formación de su plan de estudios, y estén situados dentro del cinco por ciento mejor de los graduandos de su carrera profesional en función del promedio acumulado de su plan de estudio.  El cálculo del promedio final en el plan de estudios, no toma en cuenta las califi- caciones obtenidas en las unidades de formación de nivel introductorio, registra- das en la sección del semestre de introducción, de acuerdo con lo establecido por la Vicerrectoría de Innovación Educativa y Normatividad Académica. "
CAPÍTULO VII,Artículo 7.2," Para obtener mención honorífica o mención honorífica de excelencia, se requiere que el candidato:  3.	Cumpla con todos los requisitos de graduación, así como con los criterios definidos en el Artículo 7.1. 4.	No haya incurrido en una falta disciplinaria cuyo dictamen indique explícitamente la pérdida de la distinción. 5.	No se haya hecho acreedor al estatus de “Condicionamiento por Faltas a la Integridad Académica"".   "
CAPÍTULO VII,Artículo 7.3," El alumno que haya cursado parte de sus estudios en otra institución podrá obtener la Mención Honorífica o la Mención Honorífica de Excelencia, si demuestra tener un promedio igual o superior a 90 en los estudios realizados fuera del Tecnológico de Monterrey y también un promedio igual o superior a 90 en los estudios realizados en el Tecnológico de Monterrey, siempre y cuando cumpla con los requisitos de cada una de estas menciones.                               "
